"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"2635","hsa-miR-187-3p","4/23",0.0250730771459289,0.166810380829308,0.0600385175412767,0.517957177605616,6.57500892819602,-24.2352240655956,"STOML2;NDUFB5;TUBG1;CENPA"
"2636","hsa-miR-4661-5p","1/20",0.638662454907392,0.863602038793569,0.699116571327437,0.999993115252833,54.8048433949301,-24.573352043272,"MPLKIP"
"2637","mmu-miR-19a-3p","2/27",0.390075051419926,0.713545950933875,0.484402897907136,0.95763232327096,26.3034173678977,-24.7624610905646,"ILF3;ACADM"
"2638","mmu-miR-690","2/26",0.372130720549355,0.696013427266252,0.465918058375096,0.948720231570321,25.068057525034,-24.7800277277261,"SMARCC1;RBM34"
"2639","hsa-miR-6770-3p","1/20",0.638662454907392,0.863602038793569,0.699116571327437,0.999993115252833,55.4153179517521,-24.8470761389718,"TRMT5"
"2640","hsa-miR-6717-5p","4/23",0.0250730771459289,0.166810380829308,0.0600385175412767,0.517957177605616,6.74478400902458,-24.8610083298557,"PPIP5K2;DNAJC10;ALG14;BUB1"
"2641","mmu-miR-450b-3p","1/20",0.638662454907392,0.863602038793569,0.699116571327437,0.999993115252833,55.6924533742179,-24.971337899029,"BLOC1S6"
"2642","mmu-miR-323-5p","3/28",0.159834093736653,0.467627057378119,0.246317304195539,0.862871450668802,13.6539010654779,-25.0360512689634,"DHX33;RHEB;C21ORF91"
"2643","hsa-miR-3648","1/20",0.638662454907392,0.863602038793569,0.699116571327437,0.999993115252833,56.0192903769418,-25.1178848140677,"KHSRP"
"2644","hsa-miR-487b-3p","1/20",0.638662454907392,0.863602038793569,0.699116571327437,0.999993115252833,56.1398722890601,-25.1719512358103,"EVI5"
"2645","mmu-miR-152-3p","3/28",0.159834093736653,0.467627057378119,0.246317304195539,0.862871450668802,14.2539906778994,-26.1363869335115,"CCNA2;DNMT1;OCIAD2"
"2646","hsa-miR-8078","1/18",0.599924271399697,0.840066951878287,0.662630781265769,0.999993115252833,51.1970663887591,-26.1592355844759,"PLEKHA8"
"2647","mmu-miR-148b-3p","3/28",0.159834093736653,0.467627057378119,0.246317304195539,0.862871450668802,14.3190647551872,-26.2557079925587,"CCNA2;DNMT1;OCIAD2"
"2648","hsa-miR-668-5p","1/20",0.638662454907392,0.863602038793569,0.699116571327437,0.999993115252833,58.6024139487148,-26.2761037043769,"SLC25A15"
"2649","hsa-miR-4445-3p","1/19",0.619785902977434,0.852717715427877,0.681394935923168,0.999993115252833,55.4744558218834,-26.5379355447995,"THUMPD3"
"2650","mmu-miR-1960","3/29",0.17212491501131,0.481355088620879,0.261524518848171,0.871440147510442,15.2540377156788,-26.8400104406599,"CCNA2;RRN3;OCIAD2"
"2651","mmu-miR-142a-5p","3/25",0.124769340611585,0.411624761879858,0.201702473682272,0.818798365719052,12.922083807357,-26.8945847008801,"MEMO1;TAPT1;ANAPC11"
"2652","mmu-miR-291b-5p","1/19",0.619785902977434,0.852717715427877,0.681394935923168,0.999993115252833,56.50328891189,-27.0301099307298,"ASXL2"
"2653","mmu-miR-291a-5p","1/19",0.619785902977434,0.852717715427877,0.681394935923168,0.999993115252833,56.9973388804146,-27.26645413684,"ASXL2"
"2654","hsa-miR-6763-3p","3/28",0.159834093736653,0.467627057378119,0.246317304195539,0.862871450668802,14.9000446772669,-27.3210037674198,"SUPT16H;C14ORF119;LSM3"
"2655","hsa-miR-4304","1/19",0.619785902977434,0.852717715427877,0.681394935923168,0.999993115252833,57.1674594127679,-27.3478365975699,"URGCP-MRPS24"
"2656","mmu-miR-375-3p","1/19",0.619785902977434,0.852717715427877,0.681394935923168,0.999993115252833,57.6399220010045,-27.5738538072603,"USP1"
"2657","hsa-miR-6503-3p","1/18",0.599924271399697,0.840066951878287,0.662630781265769,0.999993115252833,54.417161143929,-27.8045489441359,"HNRNPC"
"2658","mmu-miR-96-5p","1/18",0.599924271399697,0.840066951878287,0.662630781265769,0.999993115252833,54.7612635484629,-27.9803687029681,"JKAMP"
"2659","mmu-miR-3105-3p","1/19",0.619785902977434,0.852717715427877,0.681394935923168,0.999993115252833,59.0771176296531,-28.2613811456231,"LARS2"
"2660","mmu-miR-673-5p","1/19",0.619785902977434,0.852717715427877,0.681394935923168,0.999993115252833,59.9437394939298,-28.6759567342459,"ATP5G3"
"2661","mmu-miR-201-5p","3/22",0.0929829773203279,0.361752197478552,0.15932565979412,0.750700789103779,12.1189456031812,-28.7866022171275,"CCNA2;ZYG11B;C1ORF109"
"2662","hsa-miR-1273c","3/25",0.124769340611585,0.411624761879858,0.201702473682272,0.818798365719052,13.8333026000462,-28.7910939145923,"REPIN1;NME1-NME2;THAP1"
"2663","mmu-miR-3113-5p","3/25",0.124769340611585,0.411624761879858,0.201702473682272,0.818798365719052,13.9396293460932,-29.0123905506582,"ARL6IP1;FXN;DLGAP5"
